1:0.07407,2:0.03333,3:0.02632,4:0.1,5:0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:0.25,7:0.05882,8:0.02174,9:0.05882,10:0.06667,11:0.2,12:0.16667,13:0.14286,14:0.02326,15:0.03448,16:0.02778,17:0.00315,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:0.25,19:0.2,20:0.05263,21:0.01316,17:0.00315,22:0.16667,23:0.02,24:0.03704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25:0.00221,17:0.00315,26:0.07143,27:0.25,28:0.04167,29:0.01449,30:0.0625,31:0.125,32:0.06667,33:0.16667,34:0.01852,35:0.2,36:0.09091,37:0.07692,38:0.02778,39:0.01852,,,,,,,,,,,,,,,,,,,,,,,
40:0.11111,41:0.05,42:0.03333,43:0.08333,17:0.00315,44:0.25,32:0.06667,45:0.25,46:0.2,47:0.09091,48:0.02632,49:0.01613,50:0.02041,,,,,,,,,,,,,,,,,,,,,,,,,,
51:0.02857,52:0.03571,53:0.03448,54:0.03226,55:0.00203,56:0.5,57:0.16667,58:0.07692,59:0.11111,60:0.14286,61:0.16667,62:0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
63:0.06667,57:0.16667,64:0.2,65:0.00559,66:0.1,67:0.06667,68:0.04348,69:0.02381,70:0.05,3:0.02632,71:0.14286,72:0.1,73:0.05882,74:0.25,,,,,,,,,,,,,,,,,,,,,,,,,
75:0.01449,1:0.03704,76:0.09091,16:0.02778,77:0.11111,78:0.25,79:0.14286,80:0.0625,81:0.02703,82:0.16667,83:0.10526,84:0.09091,85:0.14286,67:0.06667,86:0.08333,87:0.03226,88:0.05556,89:0.01212,90:0.16667,91:0.09091,,,,,,,,,,,,,,,,,,,
92:0.16667,93:0.0625,39:0.01852,94:0.11111,95:0.2,96:0.00775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97:0.0137,98:0.11111,99:0.05556,100:0.09091,55:0.00203,101:0.14286,102:0.16667,103:0.02857,91:0.09091,104:0.03704,105:0.07692,106:0.01905,107:0.125,108:0.16667,109:0.25,,,,,,,,,,,,,,,,,,,,,,,,
55:0.00203,110:0.04,111:0.01639,112:0.04762,113:0.14286,114:0.14286,115:0.07692,116:0.09091,117:0.04348,118:0.25,119:0.25,120:0.08333,121:0.09091,122:0.01149,123:0.02564,106:0.00952,124:0.25,125:0.1,126:0.04762,127:0.14286,128:0.125,129:0.09091,130:0.14286,131:0.25,42:0.03333,58:0.07692,,,,,,,,,,,,,
