1:2,2:1,3:1,4:1,5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:1,7:1,8:1,9:1,10:1,11:1,12:1,13:1,14:1,15:1,16:1,17:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:1,19:1,20:2,21:1,17:1,22:1,23:1,24:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25:1,17:1,26:1,27:1,28:1,29:1,30:1,31:1,32:1,33:1,34:1,35:1,36:1,37:1,38:1,39:1,,,,,,,,,,,,,,,,,,,,,,,
40:1,41:1,42:1,43:1,17:1,44:1,32:1,45:1,46:1,47:1,48:1,49:1,50:1,,,,,,,,,,,,,,,,,,,,,,,,,,
51:1,52:1,53:1,54:1,55:1,56:2,57:1,58:1,59:1,60:1,61:1,62:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63:1,57:1,64:1,65:1,66:1,67:1,68:1,69:1,70:1,3:1,71:1,72:1,73:1,74:1,,,,,,,,,,,,,,,,,,,,,,,,,
75:1,1:1,76:1,16:1,77:1,78:2,79:2,80:1,81:1,82:1,83:2,84:1,85:1,67:1,86:1,87:1,88:1,89:2,90:1,91:1,,,,,,,,,,,,,,,,,,,
92:1,93:1,39:1,94:1,95:1,96:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97:2,98:1,99:1,100:1,55:1,101:1,102:1,103:1,91:1,104:1,105:1,106:2,107:1,108:1,109:1,,,,,,,,,,,,,,,,,,,,,,,,
55:1,110:1,111:1,112:1,113:2,114:1,115:1,116:1,117:1,118:1,119:2,120:1,121:1,122:1,123:1,106:1,124:1,125:1,126:1,127:1,128:1,129:1,130:1,131:1,42:1,58:1,,,,,,,,,,,,,
132:2,133:2,134:1,135:1,136:1,137:1,96:1,138:1,139:1,126:1,121:1,55:2,140:1,141:1,142:1,111:1,143:1,,,,,,,,,,,,,,,,,,,,,,
25:3,17:1,26:1,144:1,145:1,96:1,146:1,34:1,147:1,148:1,32:1,50:2,87:1,37:1,149:1,38:2,39:1,,,,,,,,,,,,,,,,,,,,,,
142:1,50:1,150:1,151:1,152:1,51:1,153:1,154:1,155:1,17:1,48:1,97:1,156:2,157:1,21:1,8:1,,,,,,,,,,,,,,,,,,,,,,,
55:1,158:1,159:1,160:1,122:1,161:1,28:1,97:1,162:1,163:1,111:1,164:1,165:1,166:1,,,,,,,,,,,,,,,,,,,,,,,,,
167:1,168:1,169:1,170:1,171:1,82:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:3,172:2,173:1,174:1,175:1,176:1,126:1,177:1,178:2,179:2,180:1,181:1,182:1,183:1,184:1,185:1,186:1,104:1,42:1,58:1,,,,,,,,,,,,,,,,,,,
125:1,55:1,139:1,187:1,188:1,119:2,54:2,189:1,190:1,106:2,191:2,192:1,193:1,194:1,160:1,195:1,196:1,197:1,198:1,105:1,199:1,122:1,200:1,123:1,111:1,201:1,,,,,,,,,,,,,
25:2,17:1,26:1,202:1,145:1,28:1,29:1,87:1,37:1,149:1,203:1,39:1,148:1,144:1,204:1,195:1,59:1,96:1,,,,,,,,,,,,,,,,,,,,,
25:4,17:3,87:1,205:2,49:2,206:1,207:1,208:1,209:1,210:1,211:1,34:1,48:1,36:1,212:1,39:1,213:1,214:1,215:1,216:1,217:1,96:1,,,,,,,,,,,,,,,,,
55:3,172:2,110:1,218:1,219:1,177:1,220:1,178:1,182:1,221:1,222:1,223:1,224:1,179:1,225:1,226:1,227:1,181:1,130:1,191:1,228:1,194:1,229:1,166:1,,,,,,,,,,,,,,,
230:1,25:2,17:1,26:1,202:1,145:1,28:1,29:1,87:1,37:1,149:1,203:1,39:1,148:1,144:1,,,,,,,,,,,,,,,,,,,,,,,,
14:2,25:4,205:1,49:3,39:1,231:1,232:2,233:1,234:1,235:2,236:1,53:1,237:1,238:1,239:1,240:1,241:1,242:1,243:1,17:1,183:1,203:1,244:1,245:1,89:2,246:1,247:1,248:1,249:1,250:1,195:1,251:1,,,,,,,
14:2,25:4,205:1,49:3,39:1,231:1,232:2,233:1,234:1,235:2,236:1,53:1,237:1,238:1,239:1,240:1,241:1,242:1,243:1,17:1,183:1,203:1,244:1,245:1,89:2,246:1,247:1,248:1,249:1,250:1,195:1,251:1,,,,,,,
3:1,4:1,1:2,252:1,54:1,89:2,253:1,254:1,166:1,25:4,105:1,255:1,256:1,257:1,258:1,88:1,259:1,,,,,,,,,,,,,,,,,,,,,,
97:1,98:1,82:1,260:1,105:1,261:1,17:1,262:1,263:1,264:2,265:1,266:1,267:1,268:1,269:1,39:1,270:1,154:1,271:2,272:1,273:1,274:1,275:1,276:1,277:1,278:1,,,,,,,,,,,,,
3:1,4:1,1:1,252:1,54:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:1,55:2,276:1,279:1,280:1,123:1,122:1,248:1,281:1,282:1,283:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97:1,98:1,82:1,260:1,105:1,261:2,17:2,262:1,263:1,264:1,265:1,266:1,267:1,268:1,269:1,39:1,270:1,154:1,271:1,272:1,273:1,274:1,284:1,285:1,286:1,12:1,287:1,288:1,96:1,289:1,,,,,,,,,
97:1,98:1,82:1,260:1,105:1,261:2,17:2,262:1,263:1,264:1,265:1,266:1,267:1,268:1,269:1,39:1,270:1,154:1,271:1,272:1,273:1,274:1,284:1,285:1,286:1,12:1,287:1,288:1,96:1,289:1,,,,,,,,,
55:1,290:1,97:1,291:1,149:1,292:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293:1,294:1,295:1,296:1,297:1,298:1,25:1,17:1,299:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236:2,14:2,205:1,49:3,39:1,231:1,232:2,233:1,234:1,235:1,53:1,237:1,238:1,239:1,240:1,241:1,242:1,243:1,17:1,183:1,203:1,244:1,245:1,246:1,247:1,248:1,249:1,250:1,195:1,251:1,,,,,,,,,
300:2,17:1,132:1,174:1,154:1,14:1,301:1,33:1,96:1,302:1,303:1,304:1,8:1,,,,,,,,,,,,,,,,,,,,,,,,,,
55:4,120:1,122:2,305:1,306:1,307:2,308:1,309:1,25:2,310:1,311:1,312:2,158:2,220:2,313:1,106:1,186:1,314:1,315:1,316:1,317:1,9:2,318:1,319:1,224:1,163:1,320:1,,,,,,,,,,,,
55:2,270:1,123:3,162:3,278:2,321:2,307:2,158:1,309:1,122:3,322:1,323:2,193:1,324:1,186:1,325:1,326:1,308:1,327:1,113:1,25:1,328:1,329:1,38:1,,,,,,,,,,,,,,,
55:3,330:1,305:2,306:2,307:2,122:5,308:2,309:2,89:2,331:1,160:1,332:1,333:2,25:1,143:1,323:2,186:1,328:1,329:1,134:1,334:1,335:1,278:1,194:1,336:1,337:1,,,,,,,,,,,,,
309:1,55:1,62:1,97:1,311:1,75:1,122:1,105:1,54:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55:2,75:1,276:1,307:1,338:1,339:1,340:1,132:1,182:1,226:1,341:1,342:1,131:1,335:1,323:2,309:1,278:2,253:1,305:1,306:1,122:2,343:1,9:2,139:1,336:1,322:1,344:1,,,,,,,,,,,,
55:1,307:2,335:1,25:1,345:1,346:1,339:1,146:1,117:1,321:2,347:1,324:1,348:1,208:1,122:2,323:1,328:1,344:1,158:1,134:1,334:1,145:1,96:1,194:1,349:1,336:1,143:1,206:1,306:1,308:1,52:1,,,,,,,,
346:1,339:1,158:1,278:1,321:1,122:1,323:1,324:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302:1,122:1,309:1,25:2,166:1,55:1,185:1,348:1,338:1,339:2,285:1,305:1,306:1,307:1,335:1,346:1,106:1,158:1,194:1,350:1,336:1,337:1,186:1,278:1,351:1,173:1,,,,,,,,,,,,,
25:3,312:1,55:1,307:1,122:1,329:1,323:1,321:1,324:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352:2,353:1,354:1,17:1,225:1,355:1,356:2,29:1,357:1,358:2,181:2,359:2,360:1,361:1,362:1,363:1,208:1,364:1,235:1,365:1,366:1,194:1,367:1,154:4,368:1,175:1,323:1,230:1,369:1,,,,,,,,,,
